Name,Price (BDT),Shop,Link
Colorful iGame GeForce RTX 3050 Ultra W DUO OC V2-V 8GB GDDR6 Graphics Card,38000,StarTech,https://www.startech.com.bd/colorful-igame-geforce-rtx-3050-ultra-w-duo-oc-v2-v-graphics-card
Asus GeForce GTX 1660 Super TUF 6GB OC Graphics Card,38000,StarTech,https://www.startech.com.bd/asus-geforce-gtx-1660-super-tuf-6-oc-graphics-card
ASUS TUF Gaming GeForce GTX 1660 SUPER OC 6GB Graphics Card,38000,TechLand,https://www.techlandbd.com/asus-tuf-gtx1660s-o6g-gaming-graphics-card
ZOTAC GAMING GeForce GTX 1660 Ti 6GB Graphics Card,39900,TechLand,https://www.techlandbd.com/zotac-gtx-1660-ti-graphics-card
MSI GEFORCE RTX 3050 AERO ITX 8G OC GDDR6 GRAPHICS CARD,39999,TechLand,https://www.techlandbd.com/msi-geforce-rtx-3050-aero-itx-8g-oc-graphics-card
PNY GEFORCE RTX 3060 12GB UPRISING DUAL FAN GRAPHICS CARD,41499,TechLand,https://www.techlandbd.com/pny-rtx-3060-12gb-graphics-card
GIGABYTE GEFORCE RTX 3060 GAMING OC 8G GRAPHICS CARD,41900,TechLand,https://www.techlandbd.com/gigabyte-geforce-rtx-3060-gaming-oc-graphics-card
PALIT GEFORCE RTX 3050 DUAL 8GB GDDR6 GRAPHICS CARD,41900,TechLand,https://www.techlandbd.com/palit-geforce-rtx-3050-dual-8gb-graphics-card
GIGABYTE GeForce RTX 3060 GAMING OC 8GB GDDR6 Graphics Card,41990,StarTech,https://www.startech.com.bd/gigabyte-geforce-rtx-3060-gaming-oc-8g-graphics-card
Colorful Geforce RTX 3060 NB DUO 8G-V 8GB GDDR6 Graphics Card,42499,TechLand,https://www.techlandbd.com/colorful-rtx-3060-nb-duo-8g-v-graphics-card
Colorful GeForce RTX 3060 NB DUO 8GB-V 8GB GDDR6 Graphics Card,43000,StarTech,https://www.startech.com.bd/colorful-geforce-rtx-3060-nb-duo-8gb-v-graphics-card
GIGABYTE RADEON RX 6600 EAGLE 8G GDDR6 GRAPHICS CARD,43000,TechLand,https://www.techlandbd.com/gigabyte-radeon-rx-6600-eagle-8g-gddr6-graphics-card
MSI GeForce RTX 3060 VENTUS 2X OC 8GB Graphics Card,43499,StarTech,https://www.startech.com.bd/msi-rtx-3060-ventus-2x-oc-8gb-graphics-card
MSI GEFORCE RTX 3060 VENTUS 2X OC 8GB GRAPHICS CARD,43499,TechLand,https://www.techlandbd.com/msi-geforce-rtx-3060-ventus-2x-oc-8gb-graphics-card
PALIT GEFORCE GTX 1660 SUPER GP 6GB OC GRAPHICS CARD,43500,TechLand,https://www.techlandbd.com/palit-geforce-gtx-1660-super-gp-6gb-oc-graphics-card
ZOTAC GAMING GeForce RTX 3060 Twin Edge 12GB GDDR6 Graphics Card,44000,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-rtx-3060-twin-edge-graphics-card
ZOTAC GAMING GEFORCE RTX 3060 TWIN EDGE GDDR6 GRAPHICS CARD,44000,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-rtx-3060-twin-edge-graphics-card
Biostar Radeon RX580 8GB GDDR5 Dual Cooling Gaming Graphic Card,44000,TechLand,https://www.techlandbd.com/biostar-radeon-rx580-graphic-card
MSI GeForce RTX 3060 VENTUS 2X 8G OC 8GB GDDR6 Graphics Card,44000,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-rtx-3060-ventus-2x-8g-oc-8gb-gddr6-graphics-card
ZOTAC GAMING GeForce RTX 3060 Twin Edge 12GB DDR6 Graphics Card,44500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-gaming-geforce-rtx-3060-twin-edge-graphics-card
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC GDDR6 12GB Graphics Card,45400,StarTech,https://www.startech.com.bd/zotac-rtx-3060-twin-edge-oc-12gb-graphics-card
COLORFUL IGAME GEFORCE RTX 3060 ULTRA W OC 12G L-V GRAPHICS CARD,45499,TechLand,https://www.techlandbd.com/colorful-igame-geforce-rtx-3060-ultra-w-oc-12g-l-v-graphics-card
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB Graphics Card,45500,TechLand,https://www.techlandbd.com/zotac-rtx-3060-twin-edge-oc-12gb-graphics-card
GIGABYTE GeForce RTX 3060 EAGLE OC 12G GDDR6 Graphics Card,46075,StarTech,https://www.startech.com.bd/gigabyte-rtx-3060-eagle-oc-12g-graphics-card
GIGABYTE GeForce RTX 3060 EAGLE 12GB GDDR6 Graphics Card,46500,StarTech,https://www.startech.com.bd/gigabyte-geforce-rtx-3060-eagle-12gb-graphics-card
ASUS Dual GeForce RTX 3050 8GB GDDR6 Graphics Card,46800,StarTech,https://www.startech.com.bd/asus-dual-geforce-rtx-3050-8gb-graphics-card
