Name,Price (BDT),Shop,Link
OCPC GeForce RTX 2060 Super XE 8GB GDDR6 Graphics Card,30700,StarTech,https://www.startech.com.bd/ocpc-geforce-rtx-2060-super-xe-graphics-card
OCPC GeForce RTX 2060 Super 8GB GDDR6 Graphics Card,30700,TechLand,https://www.techlandbd.com/ocpc-rtx-2060-super-8gb-gddr6-gaming-card
PNY GeForce RTX 3050 8GB VERTO Dual Fan GDDR6 Graphics Card,30999,StarTech,https://www.startech.com.bd/pny-geforce-rtx-3050-8gb-verto-dual-fan-graphics-card
ZOTAC GAMING GEFORCE RTX 3050 TWIN EDGE DDR6 GRAPHICS CARD,31000,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-rtx-3050-twin-edge-graphics-card
COLORFUL IGAME GEFORCE RTX 3050 ULTRA W DUO OC 8G-V GRAPHICS CARD,31000,TechLand,https://www.techlandbd.com/colorful-rtx-3050-ultra-w-oc-8g-v-graphics-card
PNY GEFORCE RTX 3050 8GB VERTO DUAL FAN GRAPHICS CARD,31499,TechLand,https://www.techlandbd.com/pny-geforce-rtx-3050-8gb-verto-dual-fan-graphics-card
GIGABYTE NVIDIA GEFORCE RTX 3050 8GB WINDFORCE OC TWIN FAN GDDR6 GRAPHICS CARD,32000,TechLand,https://www.techlandbd.com/gigabyte-nvidia-geforce-rtx-3050-graphics-card
Arktek GeForce RTX 2060 6GB GDDR6 GRAPHICS CARD,32000,TechLand,https://www.techlandbd.com/arktek-geforce-rtx-2060-6gb-gddr6-graphics-card
EVGA GEFORCE GTX 1660 SUPER SC ULTRA 6GB GDDR6 GAMING GRAPHICS CARD,32000,TechLand,https://www.techlandbd.com/evga-geforce-gtx-1660-super-sc-ultra-gaming-6gb-graphics-card
GIGABYTE GeForce RTX 3050 WINDFORCE OC 8GB GDDR6 Graphics Card,32500,StarTech,https://www.startech.com.bd/gigabyte-geforce-rtx-3050-windforce-oc-8g-graphics-card
Palit GeForce GTX 1660 Ti DUAL 6GB GDDR6 Graphics Card,32500,TechLand,https://www.techlandbd.com/palit-geforce-gtx-1660-ti-dual-6gb-gddr6-graphics-card
SAPPHIRE PULSE AMD RADEON RX 7600 GAMING OC 8G DDR6 GRAPHICS CARD,33999,TechLand,https://www.techlandbd.com/sapphire-pulse-amd-radeon-rx-7600-8g-ddr6-graphics-card
Gigabyte GeForce GTX 1660 Super OC 6GB Graphics Card,34000,StarTech,https://www.startech.com.bd/gigabyte-geforce-gtx-1660-super-graphics-card
Gigabyte GeForce GTX 1660 OC 6G Graphics Card,34500,TechLand,https://www.techlandbd.com/gigabyte-gtx-1660oc-6g-graphics-card
